"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPG 20:3","Com_8389_neg","LPG 20:3","C26 H47 O9 P",534.29616,9.24,533.28888,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",251783.4656,270283.199,225951.4692,203171.28,302908.2636,195519.9758,17.8059382836272,17.9238632474975,-0.117924963870355,0.628455588233099,0.561611900045889,"stable",0.466281813281676
"LNAPE 16:1/N-17:0","Com_8399_neg","LNAPE 16:1/N-17:0","C38 H74 N O8 P",703.51606,10.331,702.50878,"No results","Full match","No results",NA,NA,NA,NA,6922276.539,6616782.564,4414241.84,76958.8669700001,3228019.63,6154268.278,20.135724588151,22.4847492760946,-2.34902468794355,0.355295981027617,0.460681090504982,"stable",0.900847565840831
"D-Fructose 6-phosphate","Com_8408_neg","D-Fructose 6-phosphate","C6 H13 O9 P",260.02989,2.153,259.02262,"No results","No results","Full match",NA,NA,NA,NA,2655649.104,2326967.146,2358011.644,3818526.098,5278299.00299999,1775129.8,21.6519063968351,21.2199306417983,0.431975755036785,0.452378617123018,0.50389502332264,"stable",0.73756108640729
"4-tert-butylphenol","Com_8460_neg","4-tert-butylphenol","C10 H14 O",150.10443,6.884,149.09716,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes",2176918.21,2277542.286,2033783.087,1829268.934,1925382.022,2826437.33,21.0367007776522,21.0428788564307,-0.00617807877846488,0.978303267855387,0.655704135644366,"stable",0.0267872848926023
"12-Epileukotriene B4","Com_8479_neg","12-Epileukotriene B4","C20 H32 O4",372.20097,4.665,371.1937,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Leukotrienes",2458426.262,2891841.912,2979900.779,5210810.05600001,4429620.215,4065595.764,22.1156210543067,21.3998979242796,0.715723130027108,0.00689039432372221,0.214107039905738,"up",1.65151091865647
"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_8487_neg","3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","C6 H6 N4 O2",166.04771,1.715,165.04044,"Invalid mass","No results","No match",NA,NA,NA,NA,968936.0101,930712.966,895442.806600001,889051.1003,974372.627499999,1043417.841,19.8829688245648,19.8287534694264,0.054215355138485,0.521111651641023,0.52951331545512,"stable",0.603726551852939
"Glycolithocholic acid","Com_8578_neg","Glycolithocholic acid","C26 H43 N O4",433.31928,8.157,432.312,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",1432951.005,1522825.781,1296898.3,873542.156699999,1311413.774,1106022.831,20.045386353724,20.4318370802786,-0.38645072655456,0.138164478766248,0.336222789109001,"stable",1.28299487930657
"Isovaleric acid","Com_8661_neg","Isovaleric acid","C5 H10 O2",102.06815,5.509,101.06087,"No results","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",2602187.118,2174088.985,2608552.698,2669952.07,2618946.018,6254822.25699999,21.7484915874559,21.2260303282681,0.522461259187853,0.333580139256349,0.451090303224913,"stable",0.927960935369993
"PC 16:1_20:5","Com_8689_neg","PC 16:1_20:5","C44 H76 N O8 P",823.53757,11.344,822.53029,"No results","Invalid mass","No results",NA,NA,NA,NA,3452514.742,2044068.645,1781049.731,765816.7996,1608052.424,3020057.477,20.5632224563674,21.1488415764934,-0.585619120125997,0.429416644175178,0.494201690870583,"stable",0.733249133751559
"LPG 18:0","Com_8747_neg","LPG 18:0","C24 H49 O9 P",512.31156,11.746,511.30428,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",2006101.375,1898676.785,979898.805299999,652584.214599999,2576797.093,856399.124300001,20.1069586224634,20.5649330760031,-0.457974453539727,0.55331606741888,0.54003068752385,"stable",0.555793899522398
"LNAPE 16:1/N-22:4","Com_8802_neg","LNAPE 16:1/N-22:4","C43 H76 N O8 P",765.54607,10.487,764.5388,"No results","Invalid mass","No results",NA,NA,NA,NA,2070817.389,796826.4483,238860.6791,204186.5855,235672.5731,1596892.308,18.6975961669681,19.4838282564262,-0.786232089458089,0.582047837061863,0.548736580417444,"stable",0.506187939639926
"PE 16:0_20:3","Com_8870_neg","PE 16:0_20:3","C41 H76 N O8 P",741.53799,11.051,740.53072,"No results","Invalid mass","No results",NA,NA,NA,NA,2456169.545,2253315.511,860173.370000001,709322.0863,802505.2074,2604897.254,20.1210092035365,20.6819548555526,-0.560945652016049,0.508350101531179,0.525102375422237,"stable",0.604488374034004
"L-Saccharopine","Com_8887_neg","L-Saccharopine","C11 H20 N2 O6",276.13224,4.989,275.12496,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",1275560.952,1343367.139,1594728.912,2259929.055,2239416.148,1173415.441,20.7882732401638,20.4150007972588,0.373272442905041,0.356283177276258,0.461098359428042,"stable",0.874014641551183
"nor-6β-Oxycodol","Com_8897_neg","nor-6β-Oxycodol","C17 H21 N O4",303.14321,4.806,302.13593,"Invalid mass","No results","No results","Benzenoids","Phenanthrenes and derivatives","Not available","Phenanthrenes and derivatives",2559219.629,2708678.764,2764439.519,5219832.402,3237907.78,2181434.747,21.6663494696912,21.3516619955042,0.314687474186975,0.478617510301562,0.514235912526088,"stable",0.698606759392951
"PE O-16:0_20:5","Com_9060_neg","PE O-16:0_20:5","C41 H74 N O7 P",723.52125,11.353,722.51313,"No results","Full match","No results",NA,NA,NA,NA,75138.2633999999,234464.8213,1562601.409,843787.513399999,721731.229100001,57820.39879,18.3223044356776,18.2039301652306,0.118374270446985,0.950425831534505,0.649148564901108,"stable",0.0584043835499457
"PE 16:0_22:5","Com_9087_neg","PE 16:0_22:5","C43 H76 N O8 P",765.52636,11.804,764.51892,"No results","Invalid mass","No results",NA,NA,NA,NA,16064646.06,15296969.65,11437115.32,4107719.352,6453573.725,4560279.99100001,22.2374213392306,23.7504494298392,-1.51302809060867,0.00451137847239274,0.205633174921409,"down",1.67767256174799
"LPE 16:2","Com_9140_neg","LPE 16:2","C21 H40 N O7 P",449.25436,8.404,448.24708,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",452630.2166,398221.7156,393348.3825,356928.6888,686547.7833,680050.1424,19.0698528494163,18.6588779562598,0.410974893156521,0.317743681049949,0.443560195291506,"stable",0.95671344790078
"Nervonic acid","Com_9157_neg","Nervonic acid","C24 H46 O2",366.34957,11.466,365.34229,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",2395579.481,3436618.14,3026310.188,3772381.236,1201865.179,1146282.522,20.7241396415342,21.4778766036392,-0.753736962105076,0.310380033406939,0.439890553311335,"stable",0.960019996308148
"XMP","Com_9189_neg","XMP","C10 H13 N4 O9 P",364.04191,1.822,363.03463,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",584416.476600001,637274.7203,314681.082,572180.7273,643176.9642,602482.578099999,19.2071758625941,18.9005747193293,0.306601143264803,0.440362960041182,0.498901693253731,"stable",0.75503461592344
"11(E)-Eicosenoic Acid","Com_9244_neg","11(E)-Eicosenoic Acid","C20 H38 O2",310.28711,11.414,309.27984,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",2215310.732,1691745.158,1126013.99,629556.669800001,1829777.576,2150074.216,20.3677228697422,20.6239839309867,-0.256261061244437,0.709165891881283,0.581073311425719,"stable",0.355218530040111
"5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","Com_9251_neg","5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","C14 H18 N2 O3",262.13182,5.314,261.12466,"Full match","No results","Full match",NA,NA,NA,NA,643137.600000001,748240.4976,786203.233499999,926238.202099999,1424582.758,1083308.468,20.1033814706965,19.4641510698285,0.639230400868058,0.0532954982063776,0.265380714051737,"stable",1.49466013772777
"D-Glucarate","Com_9284_neg","D-Glucarate","C6 H10 O8",210.03748,1.583,209.0302,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glucuronic acid derivatives",519457.1104,496330.3042,574569.9374,520930.982399999,566109.0243,477905.866799999,18.9892733557847,19.013236371015,-0.0239630152303008,0.811875817119603,0.612476954715535,"stable",0.222940434845474
"Pyrithioxin","Com_9383_neg","Pyrithioxin","C16 H20 N2 O4 S2",368.08467,4.999,367.07739,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines",132351.0455,157285.6135,129986.6037,98553.5585300001,112810.2079,122055.7999,16.7564465878463,17.0883468933499,-0.331900305503627,0.0576088181657928,0.26866389253136,"stable",1.40811462766062
"LPE 22:4","Com_9389_neg","LPE 22:4","C27 H48 N O7 P",529.31671,9.556,528.30943,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",7237478.16000001,6007370.40399999,4091211.186,3394351.642,668939.568699999,1917209.901,20.6389326080729,22.4231514761621,-1.78421886808914,0.108947310219151,0.317756717385833,"stable",1.36879558136903
"PC 15:0_16:1","Com_9401_neg","PC 15:0_16:1","C39 H76 N O8 P",763.53716,10.164,762.52988,"No results","Invalid mass","No results",NA,NA,NA,NA,3349662.628,3354761.352,1793658.339,765046.5604,235331.3144,574009.391299999,18.8400788740748,21.3759455846754,-2.53586671060056,0.0202499597005068,0.23462980074168,"down",1.59974170495595
"LPS 20:4","Com_9421_neg","LPS 20:4","C26 H44 N O9 P",545.27308,9.778,544.26581,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",694027.5519,531334.177999999,380643.1972,315276.6825,949252.282199999,798898.3873,19.243447825524,18.9873243906452,0.256123434878806,0.675553486106329,0.573375581068803,"stable",0.397974843116738
"(±)13-HODE","Com_9424_neg","(±)13-HODE","C18 H32 O3",296.23495,9.189,295.22767,"Full match","No results","Full match",NA,NA,NA,NA,5081128.332,4077510.234,4730898.24,3452846.143,4234319.043,4476266.8,21.942305920715,22.1365524124504,-0.194246491735427,0.260233084723373,0.41445232022575,"stable",0.972274225341524
"Deoxyinosine","Com_9435_neg","Deoxyinosine","C10 H12 N4 O4",252.08462,5.191,233.06689,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Purine 2'-deoxyribonucleosides","Purine 2'-deoxyribonucleosides",907846.657900001,937523.0687,1197493.246,723965.7618,1125464.376,960169.905400001,19.8135270329975,19.9407232877367,-0.127196254739111,0.605718411663879,0.555475789754515,"stable",0.480782412584764
"LPI 22:5","Com_9488_neg","LPI 22:5","C31 H51 O12 P",646.31236,9.639,645.30508,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",373522.651,303670.058,198661.6956,408864.1002,1957195.748,1142102.519,19.8882930729455,18.1076451838716,1.78064788907389,0.100012431413143,0.310551064271684,"stable",1.37747018324826
"7-Ketolithocholic acid","Com_9543_neg","7-Ketolithocholic acid","C24 H38 O4",390.27731,7.864,389.27003,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",3629596.588,3091283.434,2930593.021,2619125.024,2684529.611,4566189.873,21.5998169353783,21.6113044953348,-0.0114875599564499,0.970065206578546,0.653792540769754,"stable",0.0365521575014477
"3-Methoxytyramine","Com_9679_neg","3-Methoxytyramine","C9 H13 N O2",167.09494,6.329,166.08742,"No results","No results","Full match","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",911424.749199999,736989.137799999,915520.384300001,800142.2353,851966.9927,2397265.866,20.1677644847869,19.6977601114813,0.470004373305542,0.45790884401258,0.506137204662587,"stable",0.723389539401152
"LPS 19:1","Com_9680_neg","LPS 19:1","C25 H48 N O9 P",537.30684,9.597,536.29957,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",563752.011299999,542450.948899999,326759.6094,608559.5862,1956355.084,2046448.01,20.3598221350505,18.8239014834266,1.53592065162396,0.0990712582255543,0.309737443487383,"stable",1.36896400014922
"Prostaglandin A1 ethyl ester","Com_9686_neg","Prostaglandin A1 ethyl ester","C22 H36 O4",346.25074,8.435,345.24347,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1194976.434,1473126.004,1838841.575,1551894.545,1214915.588,972139.028900001,20.2229422906231,20.4964553006621,-0.273513010039061,0.360626791729199,0.463144093397001,"stable",0.810207296296871
"PC 14:0_22:6","Com_9726_neg","PC 14:0_22:6","C44 H76 N O8 P",823.53746,11.674,822.53018,"No results","Invalid mass","No results",NA,NA,NA,NA,2275993.633,1058089.107,1244403.805,766499.1497,198307.7144,1977535.607,19.3535260608522,20.4593726900709,-1.10584662921871,0.372194400993752,0.468581919483665,"stable",0.84202568898908
"Feruloyl Putrescine","Com_9798_neg","Feruloyl Putrescine","C14 H20 N2 O3",264.14754,5.398,263.14032,"No results","No results","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",1086061.406,1170481.831,1387568.351,1601344.228,1606688.934,2174424.312,20.7595711019824,20.2044909211312,0.555080180851252,0.0419399984426664,0.254781029911945,"up",1.48245584555821
"LNAPE 16:0/N-24:4","Com_9877_neg","LNAPE 16:0/N-24:4","C45 H82 N O8 P",795.56492,10.821,794.55755,"No results","Invalid mass","No results",NA,NA,NA,NA,1693460.756,1428969.889,1212372.192,1833795.577,3650407.169,267334.4285,20.2114378247945,20.4491628152239,-0.237724990429431,0.853258642218008,0.624208814703209,"stable",0.183645192081052
"Metanephrine","Com_9928_neg","Metanephrine","C10 H15 N O3",197.10516,5.772,196.09787,"No results","No results","Full match","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",2850881.333,2214161.949,2955558.318,2663629.363,3280894.219,3642360.288,21.5956872573935,21.3387683774907,0.256918879902845,0.240458683386941,0.402777367214076,"stable",1.0019414831775
"O-Phospho-L-serine","Com_9960_neg","O-Phospho-L-serine","C3 H8 N O6 P",185.00832,1.408,184.00162,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",799740.458899999,6817969.60600001,936222.001,2316358.326,1336876.902,909653.0522,20.429606362014,20.7155247434827,-0.285918381468679,0.808870118375977,0.611596252663923,"stable",0.234144207917216
"LPC 20:0","Com_10030_neg","LPC 20:0","C28 H58 N O7 P",597.40075,11.137,596.39347,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",2771565.91,2292443.329,1580179.174,914978.687600001,2794460.978,1685906.056,20.634203309589,21.0407937488987,-0.406590439309724,0.493964921920425,0.519951704456726,"stable",0.63999533073107
"Propionyl-L-carnitine","Com_10099_neg","Propionyl-L-carnitine","C10 H19 N O4",217.13153,5.441,216.12426,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",2068108.975,1628046.197,1487428.316,1445858.66,2173259.486,1720809.358,20.7431933178971,20.7063265650999,0.0368667527972271,0.876222444663102,0.630417566859557,"stable",0.146398940521024
"2,5-Dimethylphenol","Com_10123_neg","2,5-Dimethylphenol","C8 H10 O",122.07324,5.659,121.06596,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Xylenes","p-Xylenols",1681170.587,1558309.399,1387338.234,1568572.018,1652804.524,2174480.569,20.763248134177,20.5521576984946,0.211090435682461,0.292275478875723,0.431111331372809,"stable",0.944246717766322
"8-Bromoguanosine","Com_10130_neg","8-Bromoguanosine","C10 H12 Br N5 O5",361.00273,1.933,359.99547,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1183157.296,1157625.269,1188433.285,1048536.961,1097407.43,1077430.512,20.0349258336682,20.1658589436314,-0.13093310996322,0.00748837413829827,0.215451502745874,"stable",1.67141217089289
