"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",42137320.16,37797922.99,27892379.9,21990665.31,25495500.58,20215805.62,14204258.63,26918076.38,11171091.3,24.1863777630824,25.0779221847252,-0.891544421642791,0.0153244014836244,0.359202540459619,"down",1.9376790023532
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1466134.702,1732076.414,1512594.64,2568502.397,2270828.088,2318843.573,1125547.741,2573792.43,1335350.143,20.8831173115201,20.5787504521893,0.304366859330774,0.224427294239762,0.785081487602199,"stable",0.917762714196287
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3150592.091,2800831.486,5518233.878,2807131.638,2664667.284,2919286.154,3308279.883,2686035.141,2658563.376,21.433380917622,21.8001301588324,-0.366749241210428,0.347882997306044,0.849903320294957,"stable",1.47039533722508
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",3179259.765,3284891.073,2186224.707,3411186.367,2765774.429,3143808.61,2435412.007,3414381.578,1319028.841,21.3225246914289,21.4358946103954,-0.11336991896653,0.703170535554053,0.91964816371943,"stable",0.339363814179976
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",1102181.554,943606.9264,334471.0838,1025997.798,751539.7752,1944646.04,3056569.588,1636498.689,367892.8826,20.1756252549579,19.4237596348609,0.751865620097021,0.33378253016907,0.844548246644549,"stable",0.958608835792615
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",581515.647200001,620368.112,129016.9328,1830365.621,1459221.544,1479912.075,195647.1556,1430035.029,1143292.953,19.9879708873869,18.4564747968471,1.53149609053979,0.162475016562029,0.725617723641854,"stable",1.48664218585785
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,4374132.153,516348.696500001,10799715.2,2957289.407,5656491.713,4292193.71,6121921.794,8143738.901,1509319.532,21.9981472940924,21.4676804826302,0.530466811462261,0.727496472305774,0.922125726260334,"stable",0.526128136371015
"4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","Com_8212_neg","4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","C11 H18 O8",278.09791,6.701,277.09064,"Invalid mass","No results","No results",NA,NA,NA,NA,1594516.679,1357477.362,3492431.279,1327234.13,1915976.479,1573963.359,1987889.453,2005795.596,6172170.484,21.035251024785,20.9043282544918,0.130922770293139,0.815459948771775,0.929937461256869,"stable",0.24305267076861
"Gamma-Glu-Leu","Com_8356_neg","Gamma-Glu-Leu","C11 H20 N2 O5",260.13713,4.126,259.12985,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4826426.42,5786973.816,2163345.473,3657816.259,3558705.422,3039787.03,3763963.519,4170458.419,2089999.212,21.6552796346023,21.9039114275039,-0.248631792901556,0.633705744232784,0.911618707644658,"stable",0.682685738425482
"LPG 20:3","Com_8389_neg","LPG 20:3","C26 H47 O9 P",534.29616,9.24,533.28888,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",174573.0062,170721.9006,540280.284800001,163506.0523,177995.3572,181291.519,195519.9758,166559.8419,722428.514399999,17.7689248976385,17.9460360331913,-0.177111135552746,0.7988475431723,0.928584529359194,"stable",0.289491599983711
"LNAPE 16:1/N-17:0","Com_8399_neg","LNAPE 16:1/N-17:0","C38 H74 N O8 P",703.51606,10.331,702.50878,"No results","Full match","No results",NA,NA,NA,NA,4318741.744,3382143.431,2888404.501,5201469.725,11068817.98,11222435.52,6154268.278,5674077.983,2584449.469,22.5701507029111,21.7311757982103,0.83897490470083,0.0551433501793431,0.495814575932366,"stable",1.46596516289849
"D-Fructose 6-phosphate","Com_8408_neg","D-Fructose 6-phosphate","C6 H13 O9 P",260.02989,2.153,259.02262,"No results","No results","Full match",NA,NA,NA,NA,2413285.811,2987417.399,2295037.587,3225862.894,3466546.207,3120778.391,1775129.8,1771938.003,1193970.507,21.1039202151587,21.2810403668605,-0.177120151701789,0.549072529699484,0.899366671829905,"stable",0.462534712759528
"4-tert-butylphenol","Com_8460_neg","4-tert-butylphenol","C10 H14 O",150.10443,6.884,149.09716,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes",2463101.889,2027327.761,1588601.011,2005534.048,2060045.13,2013893.206,2826437.33,1790838.872,871579.1268,20.7978974664049,20.9275060641868,-0.129608597781875,0.674232566955289,0.916487482769165,"stable",0.361402013886764
"12-Epileukotriene B4","Com_8479_neg","12-Epileukotriene B4","C20 H32 O4",372.20097,4.665,371.1937,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Leukotrienes",3205728.328,2042625.504,2286048.454,3861912.745,1959620.374,1959145.417,4065595.764,2367775.014,1579758.354,21.2343713902123,21.2328795275781,0.00149186263423573,0.99619758102303,0.941910338774013,"stable",0.00420027420976394
"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_8487_neg","3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","C6 H6 N4 O2",166.04771,1.715,165.04044,"Invalid mass","No results","No match",NA,NA,NA,NA,1053510.586,1128910.306,750557.0814,1039115.163,1019570.607,1016011.282,1043417.841,919507.782900001,569753.756500001,19.8040510357523,19.8769583619246,-0.0729073261722775,0.764946212828103,0.925654802023614,"stable",0.309598495391047
"Glycolithocholic acid","Com_8578_neg","Glycolithocholic acid","C26 H43 N O4",433.31928,8.157,432.312,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",2616361.268,2064392.192,2233734.906,2152680.404,1692738.284,2009065.661,1106022.831,2097927.813,1388912.193,20.6916218018916,21.1291475100292,-0.437525708137557,0.0509886776674809,0.485796395111391,"stable",1.52388586909943
"Isovaleric acid","Com_8661_neg","Isovaleric acid","C5 H10 O2",102.06815,5.509,101.06087,"No results","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",905441.736100001,1814853.088,701168.915299999,2518678.68,2173517.139,1956444.247,6254822.25699999,2106720.681,1624258.646,21.2383488814055,19.9996953776689,1.23865350373661,0.0677874497551046,0.540821949453264,"stable",1.84600500008927
"PC 16:1_20:5","Com_8689_neg","PC 16:1_20:5","C44 H76 N O8 P",823.53757,11.344,822.53029,"No results","Invalid mass","No results",NA,NA,NA,NA,1922014.183,2344020.381,3668198.275,6296280.42599999,4521615.6,130553.8646,3020057.477,1204593.572,1098074.623,20.5802608673138,21.2804604754015,-0.700199608087679,0.452581428232596,0.880475893950337,"stable",0.565132672368848
"LPG 18:0","Com_8747_neg","LPG 18:0","C24 H49 O9 P",512.31156,11.746,511.30428,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",220796.0112,219367.2239,428011.4424,221843.9546,262949.0757,237902.757,856399.124300001,335636.5491,367887.0537,18.3628315927816,18.0675442948035,0.295287297978131,0.524630657228175,0.895169777297428,"stable",0.60932243667508
"LNAPE 16:1/N-22:4","Com_8802_neg","LNAPE 16:1/N-22:4","C43 H76 N O8 P",765.54607,10.487,764.5388,"No results","Invalid mass","No results",NA,NA,NA,NA,1338729.476,1316852.284,924843.684200001,2476098.555,8020711.815,4063833.869,1596892.308,2171492.827,111907.9319,20.7597317114951,20.1666483788979,0.593083332597114,0.528811654901108,0.895912336239854,"stable",0.464825205968475
"PE 16:0_20:3","Com_8870_neg","PE 16:0_20:3","C41 H76 N O8 P",741.53799,11.051,740.53072,"No results","Invalid mass","No results",NA,NA,NA,NA,1962270.373,1291208.511,1390231.858,1649052.08,2131320.846,3507098.46,2604897.254,2332829.821,550811.653899999,20.8260021046818,20.5370923500149,0.288909754666818,0.51752549239311,0.893883277472066,"stable",0.503690934713634
"L-Saccharopine","Com_8887_neg","L-Saccharopine","C11 H20 N2 O6",276.13224,4.989,275.12496,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2354953.448,2829697.05,1705719.376,2910801.074,2227792.753,2210785.413,1173415.441,2451963.899,1776063.878,20.9640561301644,21.100477389728,-0.136421259563594,0.650225909066669,0.91367034208741,"stable",0.444051913285568
"nor-6β-Oxycodol","Com_8897_neg","nor-6β-Oxycodol","C17 H21 N O4",303.14321,4.806,302.13593,"Invalid mass","No results","No results","Benzenoids","Phenanthrenes and derivatives","Not available","Phenanthrenes and derivatives",9705183.807,8926924.27800001,2827537.827,4105670.565,3128521.732,3171121.219,2181434.747,3459493.612,1248136.107,21.3621861503707,22.5770569192312,-1.21487076886045,0.154359445923011,0.715298917022266,"stable",1.7548601988281
"PE O-16:0_20:5","Com_9060_neg","PE O-16:0_20:5","C41 H74 N O7 P",723.52125,11.353,722.51313,"No results","Full match","No results",NA,NA,NA,NA,51452.66951,48853.84292,36151.21256,49941.02093,61772.76483,51885.35402,57820.39879,53906.89709,24697.57013,15.5525358986847,15.4562997193437,0.0962361793409752,0.71578861673665,0.920952656382515,"stable",0.314744295680099
"PE 16:0_22:5","Com_9087_neg","PE 16:0_22:5","C43 H76 N O8 P",765.52636,11.804,764.51892,"No results","Invalid mass","No results",NA,NA,NA,NA,12678502.97,8224564.26000001,5927969.68999999,9023803.032,16648619.6,6404851.20399999,4560279.99100001,7928394.92200001,2938179.92,22.7051194466808,23.0221651759703,-0.317045729289433,0.527047218134947,0.895600253290219,"stable",0.565517882745937
"LPE 16:2","Com_9140_neg","LPE 16:2","C21 H40 N O7 P",449.25436,8.404,448.24708,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",908544.936699999,1298633.946,821960.7962,3209988.702,2224073.757,3066510.471,680050.1424,3619631.116,1755868.276,21.0255870786216,19.9168239341541,1.10876314446756,0.0328698274393981,0.448368799666986,"up",1.6193494074765
"Nervonic acid","Com_9157_neg","Nervonic acid","C24 H46 O2",366.34957,11.466,365.34229,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1432891.901,425351.5324,608611.4141,1432631.844,1354138.882,529365.0088,1146282.522,2742951.212,559709.9949,20.0738721376715,19.4546521119627,0.619220025708817,0.38450336065018,0.862229153812932,"stable",0.92370604080045
"XMP","Com_9189_neg","XMP","C10 H13 N4 O9 P",364.04191,1.822,363.03463,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",1838097.11,1080110.511,574878.661,1394565.227,826725.546700001,714074.4816,602482.578099999,1577123.113,471553.5278,19.6917723057965,19.9951423368915,-0.303370031094921,0.62113946776548,0.9099916040004,"stable",0.578566444449903
"11(E)-Eicosenoic Acid","Com_9244_neg","11(E)-Eicosenoic Acid","C20 H38 O2",310.28711,11.414,309.27984,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",397512.2282,565249.7019,1089460.381,664960.480499999,245036.5767,439878.8329,2150074.216,960212.317700001,890627.239199999,19.4442840798558,19.2547836060382,0.189500473817596,0.766681971680182,0.925810631360867,"stable",0.27373406064127
"5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","Com_9251_neg","5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","C14 H18 N2 O3",262.13182,5.314,261.12466,"Full match","No results","Full match",NA,NA,NA,NA,592805.372300001,1186959.713,794263.6945,1182716.221,983924.419999999,1077217.393,1083308.468,904844.545300001,1500438.234,20.0786690168931,19.6517656896291,0.426903327264093,0.275749531367694,0.81779357955738,"stable",1.48134560154063
"D-Glucarate","Com_9284_neg","D-Glucarate","C6 H10 O8",210.03748,1.583,209.0302,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glucuronic acid derivatives",2760743.073,2590394.243,1649747.392,2385379.687,1657691.599,1572716.795,477905.866799999,2131597.436,986110.012,20.3721031276951,21.1183930533557,-0.746289925660605,0.120167071844311,0.664317204747867,"stable",1.24538193745656
"Pyrithioxin","Com_9383_neg","Pyrithioxin","C16 H20 N2 O4 S2",368.08467,4.999,367.07739,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines",190139.2603,185169.7086,266540.5157,88637.6412600001,95775.90777,105524.7007,122055.7999,112672.8484,599673.5224,17.0905012842542,17.6863936118018,-0.595892327547599,0.239014178530755,0.795515743372779,"stable",0.896108469307491
"LPE 22:4","Com_9389_neg","LPE 22:4","C27 H48 N O7 P",529.31671,9.556,528.30943,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1660446.976,660357.8382,1019100.477,793355.181499999,2511043.49,2815590.219,1917209.901,1912482.997,763722.6639,20.593791762324,19.9849645257214,0.608827236602593,0.285908526519241,0.82312265510502,"stable",1.02870248703202
"PC 15:0_16:1","Com_9401_neg","PC 15:0_16:1","C39 H76 N O8 P",763.53716,10.164,762.52988,"No results","Invalid mass","No results",NA,NA,NA,NA,1018546.108,121381.1068,406787.4192,118323.2398,1838630.324,2009321.258,574009.391299999,1922112.281,127544.0598,19.2610771569368,18.4937265835795,0.767350573357305,0.547246499190769,0.899064775484258,"stable",0.582264769587203
"LPS 20:4","Com_9421_neg","LPS 20:4","C26 H44 N O9 P",545.27308,9.778,544.26581,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1104556.331,1456259.935,2238127.149,2200708.093,1222100.175,1302763.606,798898.3873,2188900.234,1126509.023,20.3960776787891,20.5475775317477,-0.151499852958633,0.706359738130271,0.919981921399959,"stable",0.385024887249862
"(±)13-HODE","Com_9424_neg","(±)13-HODE","C18 H32 O3",296.23495,9.189,295.22767,"Full match","No results","Full match",NA,NA,NA,NA,4755798.325,3627470.211,2931236.139,2393999.359,3306786.776,4177293.348,4476266.8,4350401.77,2061977.369,21.660717639035,21.8182887358749,-0.157571096839956,0.59673721427589,0.906654485347463,"stable",0.497124010027564
"Deoxyinosine","Com_9435_neg","Deoxyinosine","C10 H12 N4 O4",252.08462,5.191,233.06689,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Purine 2'-deoxyribonucleosides","Purine 2'-deoxyribonucleosides",837013.2477,1034264.271,860392.049399999,2599781.505,1644373.323,1420035.453,960169.905400001,1407004.018,663863.582200001,20.3390355674387,19.7898996776228,0.549135889815936,0.107861069317878,0.642649671768951,"stable",1.21366103561591
"LPI 22:5","Com_9488_neg","LPI 22:5","C31 H51 O12 P",646.31236,9.639,645.30508,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",1030524.22,1120086.279,2042999.164,800663.3114,404273.9882,516990.783,1142102.519,952532.552100001,626669.0111,19.4096004648961,20.3441275332697,-0.934527068373558,0.0689686474684446,0.544801251220477,"stable",1.78866375645625
"7-Ketolithocholic acid","Com_9543_neg","7-Ketolithocholic acid","C24 H38 O4",390.27731,7.864,389.27003,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",4084467.602,2767655.948,2819940.992,2935279.71,2705163.957,3307181.831,4566189.873,3488885.107,1616411.275,21.4984631781317,21.5963944440297,-0.0979312658980227,0.732710818970876,0.922637045570699,"stable",0.305326074825829
