"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",2023429.177,3129715.756,2252589.461,2679847.507,2658163.666,2855005.893,4479094.66,1745308.84,2294441.658,21.3500531021288,21.2097080336357,0.140345068493122,0.613612217851963,0.497179988973811,"stable",0.384708050181254
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",819825.1738,918985.849099999,696828.470100001,1306833.908,1584683.345,1414890.199,1143879.892,1522273.376,1313514.758,20.388994558014,19.6216946430592,0.767299914954815,0.00691507642951293,0.0790481690369732,"up",1.9809574195874
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1316685.968,693392.2614,648462.311399999,1822674.131,900908.414699999,1031903.022,3596739.256,605600.4378,670130.4553,20.1493115706756,19.6794850941367,0.469826476538941,0.393372756858012,0.415234539418339,"stable",0.594834195592762
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",189258.0413,411104.0256,211613.3346,175661.3956,533692.0973,282244.4946,271052.0513,526693.2751,597103.7751,18.4661846267832,17.9567366874046,0.509447939378628,0.314725027708415,0.38211764047293,"stable",0.802453659187988
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",1239161.829,1010718.055,1389508.635,682501.073,1203400.19,657200.0312,823004.049100001,806983.8301,1117958.845,19.711714293871,20.1980085745111,-0.486294280640113,0.0495875546235209,0.187872338627216,"down",1.33913392828468
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",439692.646,527415.542299999,577852.7175,1036898.13,340529.3926,531086.7711,292003.3448,905304.758799999,741385.9282,19.1372308655144,18.9650195799353,0.172211285579095,0.61787134255181,0.498909233452977,"stable",0.305794671265074
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",1991617.981,3116558.908,2192565.42,1982173.875,3042335.949,2434592.052,2452841.479,2700745.016,2783358.153,21.2783320759958,21.1870735084149,0.0912585675808799,0.701230837259468,0.530510497078622,"stable",0.404864583957166
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",2826216.557,3285447.26,3685140.175,2923289.658,3497001.88,3845006.85,3088439.441,2475538.876,3546656.339,21.6078648558891,21.6304623347311,-0.0225974788420373,0.882671885495818,0.587177687857547,"stable",0.118507308103802
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",465019.8675,528173.4574,499161.5264,934408.0212,559885.6087,431936.1769,539322.7685,201072.0487,857897.398200001,19.0029187266161,18.9222441073158,0.0806746193002645,0.816613476908049,0.568202847459678,"stable",0.137284434559498
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",8622924.35899999,3322423.186,5863568.63,2882965.251,1643006.192,3275857.253,3616203.565,12339635.1,20439153.92,22.2296904276282,22.3956325829974,-0.165942155369226,0.817711969067334,0.568532633128155,"stable",0.155632216474276
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,9517045.81100001,8851523.524,10569875.16,11975292.36,9834930.84599999,12182360.8,11160243.36,5191032.064,6111934.36500001,23.0906640268375,23.1976772496501,-0.107013222812576,0.657379310535387,0.514400482245408,"stable",0.269891194047829
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",2885727.393,2258240.869,4076461.766,4987762.907,1777503.242,4836849.839,10699228.3,40642171.2,3770518.451,22.6151379273956,21.5087191952642,1.10641873213139,0.151538110681622,0.284895663261869,"stable",0.880572968574227
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,948576.680999999,1243233.725,1027875.202,2617505.925,1980644.598,1114462.288,4206684.692,1051345.707,1356531.921,20.7841276448389,20.0241015578347,0.760026087004199,0.065530860560221,0.203712486231126,"stable",1.12189222756125
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3202176.976,3301731.896,3889149.302,3902794.889,2408620.857,2968794.328,4006236.32,2713677.025,2941335.315,21.5651618896863,21.7188121162418,-0.153650226555474,0.333132708947279,0.39026965888724,"stable",0.652311147249286
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",647880.7432,925069.600500001,1054362.873,1077397.84,1394794.787,735624.5773,1121196.938,1324898.205,2235437.477,20.2442558968069,19.7108370620884,0.533418834718486,0.127813129493159,0.266326460000715,"stable",1.09396747824919
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3857126.899,4367953.175,4288517.984,3737743.302,3272099.313,3836539.42,4241717.173,1966141.682,3243894.457,21.6498906034261,21.989889626786,-0.339999023359891,0.0913527937332941,0.229423696514907,"stable",1.02987905954348
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",144795.5489,136757.3665,147686.7529,140787.9731,118979.5783,143310.9198,152719.215,108254.79,130186.8364,17.0045209149347,17.125699216589,-0.121178301654229,0.188890249819145,0.311115183195798,"stable",0.813657578764543
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",1234735.89,1330319.553,1697293.039,1500992.017,1525689.497,1371746.324,1566399.731,1143491.144,1641962.347,20.4661869113881,20.4246388976567,0.0415480137314077,0.808666439886043,0.5658019146688,"stable",0.233976186803595
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",929883.554,983577.179499999,634900.582100001,1488505.402,1432449.457,1399725.652,1169535.446,1063383.342,1036723.038,20.2555886800131,19.6701801501708,0.585408529842312,0.0775651487127887,0.215803683389809,"stable",1.6435366793226
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1022604.79,1916679.287,837832.162999999,1975600.527,1578467.69,1483433.065,805953.7105,1414542.673,1871625.713,20.4820939626471,20.1700988415704,0.311995121076738,0.495856478578106,0.453334950189773,"stable",0.668100956115968
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,101307.4536,95297.4396900001,104123.4193,112650.8809,83037.92197,107486.8594,157134.5957,113637.0214,85427.4487600001,16.7124848928281,16.6121552333431,0.100329659485091,0.506778360415392,0.456803301506158,"stable",0.400071132161831
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",16543102.76,12345370.05,16548730.86,12682094.3,10843772.89,10216372.49,9466818.383,8709753.60600001,7595080.817,23.2227192353937,23.8391368332846,-0.616417597890894,0.0218763255124825,0.136148990972568,"down",1.71469606883934
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1194871.736,1765836.635,823215.8237,1201992.371,1598186.229,1284629.124,1122272.805,1222953.939,1437978.635,20.3122437190504,20.1970853219906,0.115158397059801,0.755144664618168,0.548909603042473,"stable",0.391703296722993
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",4110072.349,4496386.149,4610096.303,4165967.33199999,3173016.095,4078330.422,4731816.95599999,2855290.099,3035820.538,21.7833357589233,22.0691441084153,-0.285808349491944,0.0687921407591059,0.206276914826863,"stable",1.11353396186608
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",1827956.459,2260854.022,1842907.717,2060665.862,2049417.19,2094768.509,2386932.746,2140795.497,2433660.858,21.0618265941009,20.9079296961647,0.153896897936139,0.260834060379644,0.354435040174807,"stable",1.14698906115159
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",520231.8505,391638.3867,592697.2395,539367.3054,388209.3781,534631.9716,670205.825600001,384722.5045,503001.0575,18.9139126479728,18.9149645563691,-0.00105190839626701,0.99635262288731,0.616201869762467,"stable",0.0039563265456059
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",146588.7426,149784.15,149193.4008,133047.9949,116105.155,144182.0681,155829.4104,119611.9438,120289.7173,16.9963259526018,17.1802548094984,-0.183928856896657,0.0453855791746251,0.182472966895829,"stable",1.21837707270004
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,3980736.957,4496965.048,8316871.334,3770526.959,4294164.954,5459437.757,5563813.145,4043623.159,4060767.596,22.0947970930879,22.3375779448895,-0.242780851801609,0.542624693102302,0.468129466211567,"stable",0.723326513661472
"4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","Com_8212_neg","4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","C11 H18 O8",278.09791,6.701,277.09064,"Invalid mass","No results","No results",NA,NA,NA,NA,2683202.885,2942024.046,2243703.809,2495132.713,2329382.898,2716993.369,2717541.386,2031508.561,2144376.931,21.1893164649224,21.3137843766485,-0.124467911726114,0.41420617975383,0.423896466490964,"stable",0.741953938697829
"Gamma-Glu-Leu","Com_8356_neg","Gamma-Glu-Leu","C11 H20 N2 O5",260.13713,4.126,259.12985,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",3475726.575,2972591.427,4191832.159,2529464.869,2894964.718,2846280.008,3476417.594,2516719.777,2809474.377,21.4317188673532,21.7437741459137,-0.3120552785605,0.145484290611185,0.280511242501681,"stable",1.40375817996247
"LPG 20:3","Com_8389_neg","LPG 20:3","C26 H47 O9 P",534.29616,9.24,533.28888,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",916343.2727,800138.1627,367564.3621,829807.068799999,883551.4785,1108980.005,1282550.088,2900162.766,1588736.316,20.308984576579,19.3010185346533,1.00796604192579,0.112917996993852,0.252462069978541,"stable",1.34542438897082
"LNAPE 16:1/N-17:0","Com_8399_neg","LNAPE 16:1/N-17:0","C38 H74 N O8 P",703.51606,10.331,702.50878,"No results","Full match","No results",NA,NA,NA,NA,3350723.008,6588038.75699999,3330029.423,4043392.906,81756.2659399999,4459742.47000001,6287207.983,3682052.959,3032702.685,21.0471575449702,21.9981873680035,-0.951029823033259,0.382780830300402,0.410770785095016,"stable",0.532104928368375
"D-Fructose 6-phosphate","Com_8408_neg","D-Fructose 6-phosphate","C6 H13 O9 P",260.02989,2.153,259.02262,"No results","No results","Full match",NA,NA,NA,NA,1045987.278,1292621.066,801212.617899999,828620.401099999,780735.874499999,640162.5722,831679.9234,620682.756900001,1111056.832,19.5859287104753,19.970042489354,-0.384113778878621,0.1849286739802,0.308504599848545,"stable",1.17490738386855
"4-tert-butylphenol","Com_8460_neg","4-tert-butylphenol","C10 H14 O",150.10443,6.884,149.09716,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes",1995924.486,2113004.985,2050376.644,1862587.418,1564342.438,2033849.287,2117028.589,1484079.258,1540856.796,20.7386383945684,20.9689826558276,-0.230344261259155,0.0519538962700382,0.190647573036764,"stable",1.17988414931243
"12-Epileukotriene B4","Com_8479_neg","12-Epileukotriene B4","C20 H32 O4",372.20097,4.665,371.1937,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Leukotrienes",2369368.846,2704519.392,2588830.287,1970522.327,1010720.712,1940659.082,1953834.688,2551974.284,3207232.764,20.9231953117514,21.2822937151432,-0.359098403391783,0.180878726663873,0.305765497354209,"stable",0.810280211861734
"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_8487_neg","3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","C6 H6 N4 O2",166.04771,1.715,165.04044,"Invalid mass","No results","No match",NA,NA,NA,NA,1913911.629,1699448.011,1490001.886,3297469.758,1937265.119,1394810.21,1828601.867,1618463.935,1749453.113,20.8528552154149,20.6905367702268,0.162318445188046,0.449050152146918,0.437277332623225,"stable",0.491341024529545
"Glycolithocholic acid","Com_8578_neg","Glycolithocholic acid","C26 H43 N O4",433.31928,8.157,432.312,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",832129.338800001,972312.001000001,651975.1229,758550.445500001,668624.2891,719845.076999999,857321.251200001,944782.934000001,925615.5341,19.620033678642,19.6239884848045,-0.00395480616248634,0.984464551455606,0.613359182722899,"stable",0.0197196677554056
"Isovaleric acid","Com_8661_neg","Isovaleric acid","C5 H10 O2",102.06815,5.509,101.06087,"No results","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",991607.8704,1758555.359,1807873.833,1735504.332,1740659.073,1726971.354,4995545.10900001,1429620.597,2035331.307,20.9723637145764,20.4837440286244,0.488619685951996,0.258443237200505,0.353053232585141,"stable",0.855383461711368
