"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,2056974.568,2198060.266,1930698.591,1418978.859,2651208.441,907765.3004,20.5222000503866,20.9735278547234,-0.45132780433681,0.371172761870921,0.471267995113064,"stable",0.959036900847602
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6304361.741,3547654.325,3016481.862,3146526.183,3313589.932,1614289.321,21.2892532999824,21.9569294591542,-0.667676159171751,0.144761256175425,0.418122392888067,"stable",1.25237148283541
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",881102.087200001,1058434.954,719971.5347,1337674.739,1129901.889,2339395.436,20.5389221074196,19.7400103939348,0.798911713484831,0.233858674267891,0.449804371697512,"stable",1.60273555786941
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3339749.953,2992795.697,1210543.288,5076645.34900001,2685653.899,345701.3547,20.6771509147637,21.1305314222321,-0.453380507468427,0.589441782969465,0.504401748805632,"stable",0.380501609785196
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",127353.9259,119633.169,1923548.071,129181.1413,112653.1339,63262.68537,16.5698770149753,18.2340267589594,-1.66414974398403,0.414989539097266,0.475781778802636,"stable",1.12099018521256
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",2352174.145,2179812.224,1244794.725,2786508.877,2617174.259,1078597.654,20.92344374827,20.82293743231,0.10050631595994,0.580375629823808,0.503055147664952,"stable",0.203129619671361
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",547874.3376,799437.276000001,1205831.986,2413541.329,1633331.495,1689376.107,20.8433884720812,19.6245694319144,1.2188190401668,0.129077021541643,0.408935964507607,"stable",1.82772908685926
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1280664.795,2172796.969,1757645.422,1437710.208,4445364.791,2523422.823,21.2687207975774,20.6949320160663,0.573788781511091,0.149865954219047,0.420772057818062,"stable",1.03697990354301
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,82391.7577299999,79124.6792800001,744439.9869,108924.6114,83728.8511499999,1238797.137,17.7756387244786,17.3692828505937,0.406355873884973,0.163927878450416,0.427360090021399,"stable",0.264654841368691
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",42137320.16,37797922.99,27892379.9,14204258.63,26918076.38,11171091.3,23.951719657212,25.0779221847252,-1.12620252751314,0.0746379817789975,0.366430947382255,"stable",1.72229194010913
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1466134.702,1732076.414,1512594.64,1125547.741,2573792.43,1335350.143,20.5821489163556,20.5787504521893,0.00339846416624212,0.991710893930202,0.620790113245736,"stable",0.00982490481216365
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3150592.091,2800831.486,5518233.878,3308279.883,2686035.141,2658563.376,21.4523040128758,21.8001301588324,-0.347826145956621,0.430379181454821,0.477814676993919,"stable",1.0274942838036
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",3179259.765,3284891.073,2186224.707,2435412.007,3414381.578,1319028.841,21.0833239912968,21.4358946103954,-0.352570619098611,0.26073617231776,0.455586051934211,"stable",0.792419447541416
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",1102181.554,943606.9264,334471.0838,3056569.588,1636498.689,367892.8826,20.2248630794139,19.4237596348609,0.801103444553064,0.173041770376336,0.431149291099536,"stable",0.761735143037375
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",581515.647200001,620368.112,129016.9328,195647.1556,1430035.029,1143292.953,19.3834257856947,18.4564747968471,0.926950988847626,0.568254620856404,0.501199537599709,"stable",0.789618666372785
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,4374132.153,516348.696500001,10799715.2,6121921.794,8143738.901,1509319.532,22.0094266319125,21.4676804826302,0.541746149282371,0.808980002020378,0.571811475005052,"stable",0.380826010572118
"4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","Com_8212_neg","4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","C11 H18 O8",278.09791,6.701,277.09064,"Invalid mass","No results","No results",NA,NA,NA,NA,1594516.679,1357477.362,3492431.279,1987889.453,2005795.596,6172170.484,21.4719652477894,20.9043282544918,0.567636993297629,0.0597464860101108,0.350340542188414,"stable",0.819387677573554
"Gamma-Glu-Leu","Com_8356_neg","Gamma-Glu-Leu","C11 H20 N2 O5",260.13713,4.126,259.12985,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4826426.42,5786973.816,2163345.473,3763963.519,4170458.419,2089999.212,21.6102222419343,21.9039114275039,-0.293689185569608,0.14563799419853,0.418588256923912,"stable",0.567564132280573
"LPG 20:3","Com_8389_neg","LPG 20:3","C26 H47 O9 P",534.29616,9.24,533.28888,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",174573.0062,170721.9006,540280.284800001,195519.9758,166559.8419,722428.514399999,18.1283776255849,17.9460360331913,0.182341592393609,0.300201892613758,0.4623844226557,"stable",0.22457314310835
"LNAPE 16:1/N-17:0","Com_8399_neg","LNAPE 16:1/N-17:0","C38 H74 N O8 P",703.51606,10.331,702.50878,"No results","Full match","No results",NA,NA,NA,NA,4318741.744,3382143.431,2888404.501,6154268.278,5674077.983,2584449.469,22.0968453390259,21.7311757982103,0.365669540815645,0.310595079274223,0.463914833701775,"stable",0.834064699431753
"D-Fructose 6-phosphate","Com_8408_neg","D-Fructose 6-phosphate","C6 H13 O9 P",260.02989,2.153,259.02262,"No results","No results","Full match",NA,NA,NA,NA,2413285.811,2987417.399,2295037.587,1775129.8,1771938.003,1193970.507,20.5679085186339,21.2810403668605,-0.713131848226539,0.0392752239990325,0.329751429593931,"down",1.81885881740313
"4-tert-butylphenol","Com_8460_neg","4-tert-butylphenol","C10 H14 O",150.10443,6.884,149.09716,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes",2463101.889,2027327.761,1588601.011,2826437.33,1790838.872,871579.1268,20.6453431689697,20.9275060641868,-0.282162895217116,0.460783191983305,0.481949215536094,"stable",0.555023659863721
"12-Epileukotriene B4","Com_8479_neg","12-Epileukotriene B4","C20 H32 O4",372.20097,4.665,371.1937,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Leukotrienes",3205728.328,2042625.504,2286048.454,4065595.764,2367775.014,1579758.354,21.2404694609722,21.2328795275781,0.00758993339416136,0.980341351427546,0.61807189505051,"stable",0.0184762426970522
"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_8487_neg","3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","C6 H6 N4 O2",166.04771,1.715,165.04044,"Invalid mass","No results","No match",NA,NA,NA,NA,1053510.586,1128910.306,750557.0814,1043417.841,919507.782900001,569753.756500001,19.6411222808079,19.8769583619246,-0.235836081116695,0.176276428824502,0.432414718658024,"stable",0.737555702729676
"Glycolithocholic acid","Com_8578_neg","Glycolithocholic acid","C26 H43 N O4",433.31928,8.157,432.312,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",2616361.268,2064392.192,2233734.906,1106022.831,2097927.813,1388912.193,20.4943357690413,21.1291475100292,-0.634811740987853,0.225121999234157,0.447665533165179,"stable",1.58817672316838
"Isovaleric acid","Com_8661_neg","Isovaleric acid","C5 H10 O2",102.06815,5.509,101.06087,"No results","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",905441.736100001,1814853.088,701168.915299999,6254822.25699999,2106720.681,1624258.646,21.4048183427258,19.9996953776689,1.40512296505686,0.201496451803843,0.441082949673208,"stable",1.49516118582859
"PC 16:1_20:5","Com_8689_neg","PC 16:1_20:5","C44 H76 N O8 P",823.53757,11.344,822.53029,"No results","Invalid mass","No results",NA,NA,NA,NA,1922014.183,2344020.381,3668198.275,3020057.477,1204593.572,1098074.623,20.5976014268987,21.2804604754015,-0.682859048502763,0.434566306577719,0.478345705962879,"stable",1.14464013296229
"LPG 18:0","Com_8747_neg","LPG 18:0","C24 H49 O9 P",512.31156,11.746,511.30428,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",220796.0112,219367.2239,428011.4424,856399.124300001,335636.5491,367887.0537,18.8511224925428,18.0675442948035,0.783578197739342,0.341537858063052,0.467968111011462,"stable",1.26620770096314
"LNAPE 16:1/N-22:4","Com_8802_neg","LNAPE 16:1/N-22:4","C43 H76 N O8 P",765.54607,10.487,764.5388,"No results","Invalid mass","No results",NA,NA,NA,NA,1338729.476,1316852.284,924843.684200001,1596892.308,2171492.827,111907.9319,19.4763480398614,20.1666483788979,-0.690300339036554,0.619405840580387,0.512557921231153,"stable",0.524443277561059
"PE 16:0_20:3","Com_8870_neg","PE 16:0_20:3","C41 H76 N O8 P",741.53799,11.051,740.53072,"No results","Invalid mass","No results",NA,NA,NA,NA,1962270.373,1291208.511,1390231.858,2604897.254,2332829.821,550811.653899999,20.5125480776455,20.5370923500149,-0.0245442723694893,0.974028506569018,0.616545734005234,"stable",0.0353072249804891
"L-Saccharopine","Com_8887_neg","L-Saccharopine","C11 H20 N2 O6",276.13224,4.989,275.12496,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2354953.448,2829697.05,1705719.376,1173415.441,2451963.899,1776063.878,20.71601359943,21.100477389728,-0.38446379029795,0.352023963659312,0.469193848939603,"stable",0.97987364722322
"nor-6β-Oxycodol","Com_8897_neg","nor-6β-Oxycodol","C17 H21 N O4",303.14321,4.806,302.13593,"Invalid mass","No results","No results","Benzenoids","Phenanthrenes and derivatives","Not available","Phenanthrenes and derivatives",9705183.807,8926924.27800001,2827537.827,2181434.747,3459493.612,1248136.107,21.0101063900495,22.5770569192312,-1.56695052918163,0.0343681194942135,0.327576682237387,"down",1.58559180781889
"PE O-16:0_20:5","Com_9060_neg","PE O-16:0_20:5","C41 H74 N O7 P",723.52125,11.353,722.51313,"No results","Full match","No results",NA,NA,NA,NA,51452.66951,48853.84292,36151.21256,57820.39879,53906.89709,24697.57013,15.376518225585,15.4562997193437,-0.0797814937587464,0.76663755915487,0.558600877649297,"stable",0.200927075916948
"PE 16:0_22:5","Com_9087_neg","PE 16:0_22:5","C43 H76 N O8 P",765.52636,11.804,764.51892,"No results","Invalid mass","No results",NA,NA,NA,NA,12678502.97,8224564.26000001,5927969.68999999,4560279.99100001,7928394.92200001,2938179.92,22.1752598940542,23.0221651759703,-0.846905281916051,0.180547485907903,0.434026821079921,"stable",1.35171797733769
"LPE 16:2","Com_9140_neg","LPE 16:2","C21 H40 N O7 P",449.25436,8.404,448.24708,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",908544.936699999,1298633.946,821960.7962,680050.1424,3619631.116,1755868.276,20.6354820113103,19.9168239341541,0.718658077156181,0.340353453729304,0.46782533446291,"stable",0.951224954673174
"Nervonic acid","Com_9157_neg","Nervonic acid","C24 H46 O2",366.34957,11.466,365.34229,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1432891.901,425351.5324,608611.4141,1146282.522,2742951.212,559709.9949,20.2033829171507,19.4546521119627,0.74873080518806,0.521620700272307,0.493408500792543,"stable",0.87135401863477
"XMP","Com_9189_neg","XMP","C10 H13 N4 O9 P",364.04191,1.822,363.03463,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",1838097.11,1080110.511,574878.661,602482.578099999,1577123.113,471553.5278,19.545495290556,19.9951423368915,-0.449647046335421,0.54805265977591,0.497957596501965,"stable",0.640093739343167
"11(E)-Eicosenoic Acid","Com_9244_neg","11(E)-Eicosenoic Acid","C20 H38 O2",310.28711,11.414,309.27984,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",397512.2282,565249.7019,1089460.381,2150074.216,960212.317700001,890627.239199999,20.224470385684,19.2547836060382,0.969686779645794,0.346221742560127,0.468523998624711,"stable",1.36330633671338
"5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","Com_9251_neg","5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","C14 H18 N2 O3",262.13182,5.314,261.12466,"Full match","No results","Full match",NA,NA,NA,NA,592805.372300001,1186959.713,794263.6945,1083308.468,904844.545300001,1500438.234,20.1170918674381,19.6517656896291,0.465326177809054,0.391098617000786,0.47322737344953,"stable",1.16378582950201
"D-Glucarate","Com_9284_neg","D-Glucarate","C6 H10 O8",210.03748,1.583,209.0302,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glucuronic acid derivatives",2760743.073,2590394.243,1649747.392,477905.866799999,2131597.436,986110.012,19.9337532014307,21.1183930533557,-1.18463985192497,0.226264998063895,0.447953553415978,"stable",1.42688656646636
"Pyrithioxin","Com_9383_neg","Pyrithioxin","C16 H20 N2 O4 S2",368.08467,4.999,367.07739,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines",190139.2603,185169.7086,266540.5157,122055.7999,112672.8484,599673.5224,17.6242598165538,17.6863936118018,-0.0621337952479912,0.92890105869537,0.605270274875119,"stable",0.082902921247132
"LPE 22:4","Com_9389_neg","LPE 22:4","C27 H48 N O7 P",529.31671,9.556,528.30943,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1660446.976,660357.8382,1019100.477,1917209.901,1912482.997,763722.6639,20.4267605557732,19.9849645257214,0.44179603005184,0.522652495493646,0.493593076773396,"stable",0.757223084550173
